modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
363,Sol SC Florida,Sol SC Florida U13 AD | Sol SC Florida U13 HD | Sol SC Florida U14 AD | Sol SC Florida U14 HD | Sol SC Florida U15 AD | Sol SC Florida U15 HD | Sol SC Florida U16 AD | Sol SC Florida U16 HD | Sol SC Florida U17 AD | Sol SC Florida U17 HD,198,82.4,057080e0-686b-4ce2-96d1-7e41f1019575,Sol SC Florida 2011G,u15,
942,GFI Academy South,GFI Academy South U13 AD | GFI Academy South U14 AD | GFI Academy South U15 AD | GFI Academy South U16 AD | GFI Academy South U17 AD,64,82.4,7d4f4e53-9bd3-403e-9c95-f3be9650c4db,South B13 Academy,u13,
942,GFI Academy South,GFI Academy South U13 AD | GFI Academy South U14 AD | GFI Academy South U15 AD | GFI Academy South U16 AD | GFI Academy South U17 AD,64,82.4,dc5227f8-544e-4d66-8849-dead983d649f,South B15 Academy,u11,
104,Silicon Valley Soccer Academy,Silicon Valley Soccer Academy U13 AD | Silicon Valley Soccer Academy U13 HD | Silicon Valley Soccer Academy U14 AD | Silicon Valley Soccer Academy U14 HD | Silicon Valley Soccer Academy U15 AD | Silicon Valley Soccer Academy U15 HD | Silicon Valley Soccer Academy U16 AD | Silicon Valley Soccer Academy U16 HD | Silicon Valley Soccer Academy U17 AD | Silicon Valley Soccer Academy U17 HD,178,82.1,56ef5e3c-d348-48c7-9db8-f2aaf4c32906,Ohio Valley Soccer,u13,
104,Silicon Valley Soccer Academy,Silicon Valley Soccer Academy U13 AD | Silicon Valley Soccer Academy U13 HD | Silicon Valley Soccer Academy U14 AD | Silicon Valley Soccer Academy U14 HD | Silicon Valley Soccer Academy U15 AD | Silicon Valley Soccer Academy U15 HD | Silicon Valley Soccer Academy U16 AD | Silicon Valley Soccer Academy U16 HD | Silicon Valley Soccer Academy U17 AD | Silicon Valley Soccer Academy U17 HD,178,82.1,c5c11846-91d1-4c9e-9569-abc476eeb440,Ohio Valley Soccer,u13,
1077,ALBION SC Denver,ALBION SC Denver U13 AD | ALBION SC Denver U14 AD | ALBION SC Denver U15 AD | ALBION SC Denver U16 AD | ALBION SC Denver U17 AD,19,82.1,172d73e0-e8fc-46ee-8222-5495a8834bd5,ALBION SC Denver G09 GA,u17,
1077,ALBION SC Denver,ALBION SC Denver U13 AD | ALBION SC Denver U14 AD | ALBION SC Denver U15 AD | ALBION SC Denver U16 AD | ALBION SC Denver U17 AD,19,82.1,c20d338a-791b-4264-8580-130fd01fb21b,ALBION SC Denver B11 EA,u15,
385,Nashville SC,Nashville SC U14 HD | Nashville SC U15 HD | Nashville SC U16 HD | Nashville SC U17 HD,81,81.8,f15c2665-a23c-428f-86ba-14a8be5f3776,TSC Nashville 2008 Boys Showcase,u17,
385,Nashville SC,Nashville SC U14 HD | Nashville SC U15 HD | Nashville SC U16 HD | Nashville SC U17 HD,81,81.8,ad8f74bc-2b06-4c42-b4e5-b3fae50aa57d,TSC Nashville 2013 Girls Showcase,u13,
27,New England Revolution,New England Revolution U13 HD | New England Revolution U14 HD | New England Revolution U15 HD | New England Revolution U16 HD | New England Revolution U17 HD,101,81.5,3ac88e06-561c-4161-b0da-b92d4ffb2010,New England Revolution 2010B MLS,u16,
